raw_text,clean_text,tokens,processed_text,raw_length,clean_length,tokens_count
"Фильм ориентирован на маленьких детей не старше 10 лет. Смешного в фильме совсем мало. В графе жанр нужно было написать просто 'детская сказка'. Стиллер играет неплохо, только в сценарии, как я уже отмечал, почти нет смешных сцен.

.",фильм ориентирован на маленьких детей не старше лет смешного в фильме совсем мало в графе жанр нужно было написать просто детская сказка стиллер играет неплохо только в сценарии как я уже отмечал почти нет смешных сцен,"['фильм', 'ориентировать', 'маленький', 'ребёнок', 'старший', 'год', 'смешной', 'фильм', 'мало', 'граф', 'жанр', 'нужно', 'написать', 'просто', 'детский', 'сказка', 'стиллер', 'играть', 'неплохо', 'сценарий', 'отмечать', 'смешной', 'сцена']",фильм ориентировать маленький ребёнок старший год смешной фильм мало граф жанр нужно написать просто детский сказка стиллер играть неплохо сценарий отмечать смешной сцена,233,218,23
"Фильм понравился, но его слегка затянули. Как всегда порадовала Риз Уизерспун своей игрой. Мне нравится эта актриса, так как перевоплощается в разные роли мастерски, я думаю. В фильме интересен сюжет, энергичен.

",фильм понравился но его слегка затянули как всегда порадовала риз уизерспун своей игрой мне нравится эта актриса так как перевоплощается в разные роли мастерски я думаю в фильме интересен сюжет энергичен,"['фильм', 'понравиться', 'слегка', 'затянуть', 'порадовать', 'риза', 'уизерспун', 'свой', 'игра', 'нравиться', 'этот', 'актриса', 'перевоплощаться', 'разный', 'роль', 'мастерски', 'думать', 'фильм', 'интересный', 'сюжет', 'энергичный']",фильм понравиться слегка затянуть порадовать риза уизерспун свой игра нравиться этот актриса перевоплощаться разный роль мастерски думать фильм интересный сюжет энергичный,213,203,21
"До атмосферы оригинала и римейка фильму далеко, но радует то, что в новой версии больше жестокости! Также много откровенных сцен с бензопилой (такого не было в предыдуших фильмах).

Итог: фильм не идеальный, однако, вполне сносный. Кто-то ожидал большего?

",до атмосферы оригинала и римейка фильму далеко но радует то что в новой версии больше жестокости также много откровенных сцен с бензопилой такого не было в предыдуших фильмах итог фильм не идеальный однако вполне сносный кто то ожидал большего,"['атмосфера', 'оригинал', 'римейк', 'фильм', 'далеко', 'радовать', 'новый', 'версия', 'жестокость', 'также', 'откровенный', 'сцена', 'бензопила', 'такой', 'предыдунуть', 'фильм', 'итог', 'фильм', 'идеальный', 'однако', 'вполне', 'сносный', 'ожидать', 'больший']",атмосфера оригинал римейк фильм далеко радовать новый версия жестокость также откровенный сцена бензопила такой предыдунуть фильм итог фильм идеальный однако вполне сносный ожидать больший,257,243,24
"Фильм завораживает. Смотришь буквально на одном дыхании. На протяжении всего фильма присутствует чувство тревоги. Усиливает ощущения музыка, которая незаметно меняется и превращается из 'даже немного веселой' вначале фильма в 'Любовь, как случайная смерть'. 
Да, что говорить. Лучше смотреть.",фильм завораживает смотришь буквально на одном дыхании на протяжении всего фильма присутствует чувство тревоги усиливает ощущения музыка которая незаметно меняется и превращается из даже немного веселой вначале фильма в любовь как случайная смерть да что говорить лучше смотреть,"['фильм', 'завораживать', 'смотреть', 'буквально', 'один', 'дыхание', 'протяжение', 'фильм', 'присутствовать', 'чувство', 'тревога', 'усиливать', 'ощущение', 'музыка', 'который', 'незаметно', 'меняться', 'превращаться', 'немного', 'весёлый', 'вначале', 'фильм', 'любовь', 'случайный', 'смерть', 'говорить', 'смотреть']",фильм завораживать смотреть буквально один дыхание протяжение фильм присутствовать чувство тревога усиливать ощущение музыка который незаметно меняться превращаться немного весёлый вначале фильм любовь случайный смерть говорить смотреть,292,278,27
"Отличное кино - если вам нечем заняться можно приятно скоротать вечерок, полтора часа видео пролетают быстро и незаметно в компании с полицейским, с которым постоянно случается, то что не случилось бы с обычным человеком. В общем веселая комедия, смотреть стоит!

8/10",отличное кино если вам нечем заняться можно приятно скоротать вечерок полтора часа видео пролетают быстро и незаметно в компании с полицейским с которым постоянно случается то что не случилось бы с обычным человеком в общем веселая комедия смотреть стоит,"['отличный', 'кино', 'нечего', 'заняться', 'приятно', 'скоротать', 'вечерок', 'полтора', 'час', 'видео', 'пролетать', 'быстро', 'незаметно', 'компания', 'полицейский', 'который', 'постоянно', 'случаться', 'случиться', 'обычный', 'человек', 'общий', 'весёлый', 'комедия', 'смотреть', 'стоить']",отличный кино нечего заняться приятно скоротать вечерок полтора час видео пролетать быстро незаметно компания полицейский который постоянно случаться случиться обычный человек общий весёлый комедия смотреть стоить,268,254,26
"Странная вещь! Не думаю, что кому-то это будет уж больно интересно. Меня, как человека связанного с кинематографом, все же привлекло. Ну, что сказать? десять минут эксперимента с изображением и звуком. Но ничего интересного для простого зрителя.
Мои

",странная вещь не думаю что кому то это будет уж больно интересно меня как человека связанного с кинематографом все же привлекло ну что сказать десять минут эксперимента с изображением и звуком но ничего интересного для простого зрителя мои,"['странный', 'вещь', 'думать', 'кто', 'больно', 'интересно', 'человек', 'связанный', 'кинематограф', 'привлечь', 'сказать', 'десять', 'минута', 'эксперимент', 'изображение', 'звук', 'интересный', 'простой', 'зритель', 'мой']",странный вещь думать кто больно интересно человек связанный кинематограф привлечь сказать десять минута эксперимент изображение звук интересный простой зритель мой,251,239,20
"Занимательный фильм! 
Это комедия со скрытым философским подтекстом, фильм где вопреки всем бедам и социальным трудностям побеждает любовь. Фильм, который с весёлой стороны расскажет о том, что всё в этой жизни можно преодолеть.

9/10",занимательный фильм это комедия со скрытым философским подтекстом фильм где вопреки всем бедам и социальным трудностям побеждает любовь фильм который с весёлой стороны расскажет о том что всё в этой жизни можно преодолеть,"['занимательный', 'фильм', 'комедия', 'скрытый', 'философский', 'подтекст', 'фильм', 'вопреки', 'весь', 'беда', 'социальный', 'трудность', 'побеждать', 'любовь', 'фильм', 'весёлый', 'сторона', 'рассказать', 'всё', 'жизнь', 'преодолеть']",занимательный фильм комедия скрытый философский подтекст фильм вопреки весь беда социальный трудность побеждать любовь фильм весёлый сторона рассказать всё жизнь преодолеть,234,221,21
Бесподобный фильм! А какой сценарий! ТАКОЕ не придет в голову даже пациентам психбольницы.,бесподобный фильм а какой сценарий такое не придет в голову даже пациентам психбольницы,"['бесподобный', 'фильм', 'сценарий', 'такой', 'прийти', 'голова', 'пациент', 'психбольница']",бесподобный фильм сценарий такой прийти голова пациент психбольница,90,87,8
"Неплохой детский фильм. Детям есть чему поучиться.
Я в свои 27 лет смотрел легко и непринужденно, когда отлучался от телевизора - в обязательном порядке останавливал просмотр, чтобы не пропустить ни одного момента...

",неплохой детский фильм детям есть чему поучиться я в свои лет смотрел легко и непринужденно когда отлучался от телевизора в обязательном порядке останавливал просмотр чтобы не пропустить ни одного момента,"['неплохой', 'детский', 'фильм', 'ребёнок', 'что', 'поучиться', 'свой', 'год', 'смотреть', 'легко', 'непринуждённо', 'отлучаться', 'телевизор', 'обязательный', 'порядок', 'останавливать', 'просмотр', 'пропустить', 'один', 'момент']",неплохой детский фильм ребёнок что поучиться свой год смотреть легко непринуждённо отлучаться телевизор обязательный порядок останавливать просмотр пропустить один момент,218,204,20
"Отличный фильм в своем жанре... До конца он держит нас в напряжении... Что же будет? Чем окончится? 

Шерон Стоун как всегда бесподобна, а вместе с Кристофером Кейзновом они составляют отличную пару... В общем фильм очень интересный, с прекрасным сюжетом.

1",отличный фильм в своем жанре до конца он держит нас в напряжении что же будет чем окончится шерон стоун как всегда бесподобна а вместе с кристофером кейзновом они составляют отличную пару в общем фильм очень интересный с прекрасным сюжетом,"['отличный', 'фильм', 'свой', 'жанр', 'конец', 'держать', 'напряжение', 'окончиться', 'шерон', 'стоун', 'бесподобный', 'вместе', 'кристофер', 'кейзновое', 'составлять', 'отличный', 'пара', 'общий', 'фильм', 'очень', 'интересный', 'прекрасный', 'сюжет']",отличный фильм свой жанр конец держать напряжение окончиться шерон стоун бесподобный вместе кристофер кейзновое составлять отличный пара общий фильм очень интересный прекрасный сюжет,258,239,23
"Самый лучший фильм о войне, о войне незримой. Он по праву может стоять рядом с картиной 'В бой идут одни старики'.",самый лучший фильм о войне о войне незримой он по праву может стоять рядом с картиной в бой идут одни старики,"['самый', 'хороший', 'фильм', 'война', 'война', 'незримый', 'право', 'стоять', 'рядом', 'картина', 'бой', 'идти', 'один', 'старик']",самый хороший фильм война война незримый право стоять рядом картина бой идти один старик,114,109,14
"Скучный фильм. Как и многие другие 'киносериалы', гараздо хуже второй части, не говоря уж о первой. Если выключить изображение и просто слушать, впечатление и то будет лучше. Школу какую-то приплели, дрифт... Посмотрел и забыл. Чего ждать дальше?",скучный фильм как и многие другие киносериалы гараздо хуже второй части не говоря уж о первой если выключить изображение и просто слушать впечатление и то будет лучше школу какую то приплели дрифт посмотрел и забыл чего ждать дальше,"['скучный', 'фильм', 'многие', 'другой', 'киносериал', 'гараздо', 'плохой', 'второй', 'часть', 'говорить', 'первый', 'выключить', 'изображение', 'просто', 'слушать', 'впечатление', 'школа', 'какой', 'приплести', 'дрифт', 'посмотреть', 'забыть', 'ждать', 'далёкий']",скучный фильм многие другой киносериал гараздо плохой второй часть говорить первый выключить изображение просто слушать впечатление школа какой приплести дрифт посмотреть забыть ждать далёкий,246,232,24
"Фильм чудесный. Незатасканный юмор, интересные диалоги. Действительно свежие курьёзные ситуации. Приятные герои, жизненные ситуации. Ничего лишнего. Обрубленная концовка совсем не портит впечатление. Короче говоря – очень и очень понравилось! Моментами просто разит наповал! 

Вполне тянет на:  

",фильм чудесный незатасканный юмор интересные диалоги действительно свежие курьёзные ситуации приятные герои жизненные ситуации ничего лишнего обрубленная концовка совсем не портит впечатление короче говоря очень и очень понравилось моментами просто разит наповал вполне тянет на,"['фильм', 'чудесный', 'незатасканный', 'юмор', 'интересный', 'диалог', 'действительно', 'свежий', 'курьёзный', 'ситуация', 'приятный', 'герой', 'жизненный', 'ситуация', 'лишний', 'обрубить', 'концовка', 'портить', 'впечатление', 'короче', 'говорить', 'очень', 'очень', 'понравиться', 'момент', 'просто', 'разита', 'наповал', 'вполне', 'тянуть']",фильм чудесный незатасканный юмор интересный диалог действительно свежий курьёзный ситуация приятный герой жизненный ситуация лишний обрубить концовка портить впечатление короче говорить очень очень понравиться момент просто разита наповал вполне тянуть,297,278,30
"Потрясающий фильм. Легкий, не нагружающий, но вместе с тем абсолютно ненаигранный. Жизненные ситуации, естественные для девочек-подростков поступки. Красивые актеры и блестящий юмор. Молодцы проказницы!",потрясающий фильм легкий не нагружающий но вместе с тем абсолютно ненаигранный жизненные ситуации естественные для девочек подростков поступки красивые актеры и блестящий юмор молодцы проказницы,"['потрясать', 'фильм', 'лёгкий', 'нагружать', 'вместе', 'абсолютно', 'ненаигранный', 'жизненный', 'ситуация', 'естественный', 'девочка', 'подросток', 'поступок', 'красивый', 'актёр', 'блестящий', 'юмор', 'молодец', 'проказница']",потрясать фильм лёгкий нагружать вместе абсолютно ненаигранный жизненный ситуация естественный девочка подросток поступок красивый актёр блестящий юмор молодец проказница,202,194,19
"Ну, фильм конечно, не ахти, но машины хорошие есть. В кино лучше ни ходить - зря деньги потратите, а дождаться видео можно. Согласен с рецензентом - . Сюжет - примитив, предсказуемый с 15 минуты фильма. Такие фильмы мне не нравятся.",ну фильм конечно не ахти но машины хорошие есть в кино лучше ни ходить зря деньги потратите а дождаться видео можно согласен с рецензентом сюжет примитив предсказуемый с минуты фильма такие фильмы мне не нравятся,"['фильм', 'ахти', 'машина', 'хороший', 'кино', 'ходить', 'зря', 'деньга', 'потратить', 'дождаться', 'видео', 'согласный', 'рецензент', 'сюжет', 'примитив', 'предсказуемый', 'минута', 'фильм', 'такой', 'фильм', 'нравиться']",фильм ахти машина хороший кино ходить зря деньга потратить дождаться видео согласный рецензент сюжет примитив предсказуемый минута фильм такой фильм нравиться,232,212,21
"Забавный, 'почти' шпионский, фильм с интересной, а главное, 'почти' не избитой идеей. Для одноразового просмотра вполне подходит.
.",забавный почти шпионский фильм с интересной а главное почти не избитой идеей для одноразового просмотра вполне подходит,"['забавный', 'шпионский', 'фильм', 'интересный', 'главное', 'избитый', 'идея', 'одноразовый', 'просмотр', 'вполне', 'подходить']",забавный шпионский фильм интересный главное избитый идея одноразовый просмотр вполне подходить,131,119,11
"Depeche mode ~1993

Пожалуй, действительно лучший их концерт, его нужно видеть, группа на высоте, Дэйв летает, движения, вокал, музыка, отдача и многое другое отбирают все последние возможные догадки, почему именно эта группа носит мировой статус.

   Без оговорок -

1",depeche mode пожалуй действительно лучший их концерт его нужно видеть группа на высоте дэйв летает движения вокал музыка отдача и многое другое отбирают все последние возможные догадки почему именно эта группа носит мировой статус без оговорок,"['depeche', 'mode', 'пожалуй', 'действительно', 'хороший', 'концерт', 'нужно', 'видеть', 'группа', 'высота', 'дэйв', 'летать', 'движение', 'вокал', 'музыка', 'отдача', 'многое', 'другой', 'отбирать', 'последний', 'возможный', 'догадка', 'почему', 'именно', 'этот', 'группа', 'носить', 'мировой', 'статус', 'оговорка']",depeche mode пожалуй действительно хороший концерт нужно видеть группа высота дэйв летать движение вокал музыка отдача многое другой отбирать последний возможный догадка почему именно этот группа носить мировой статус оговорка,269,243,30
"Очень смешной, сердечный и жизненный сериал. Соперничество между двумя сводными сестрами, популярность в школе, стеснение от родителей нетрадиционной ориентации, первый раз между влюблёнными, ложная беременность и много других ситуаций, знакомых любому подростку - всё это в этом великолепным сериале.",очень смешной сердечный и жизненный сериал соперничество между двумя сводными сестрами популярность в школе стеснение от родителей нетрадиционной ориентации первый раз между влюблёнными ложная беременность и много других ситуаций знакомых любому подростку всё это в этом великолепным сериале,"['очень', 'смешной', 'сердечный', 'жизненный', 'сериал', 'соперничество', 'два', 'сводный', 'сестра', 'популярность', 'школа', 'стеснение', 'родитель', 'нетрадиционный', 'ориентация', 'первый', 'влюбить', 'ложный', 'беременность', 'другой', 'ситуация', 'знакомый', 'любой', 'подросток', 'всё', 'великолепный', 'сериал']",очень смешной сердечный жизненный сериал соперничество два сводный сестра популярность школа стеснение родитель нетрадиционный ориентация первый влюбить ложный беременность другой ситуация знакомый любой подросток всё великолепный сериал,301,291,27
"Посмотрела этот фильм только из-за симпатии к Бен Аффлеку! Фильм так себе, слабенький. Есть, конечно, некоторые смешные моменты, но я от этого фильма ожидала большего.

",посмотрела этот фильм только из за симпатии к бен аффлеку фильм так себе слабенький есть конечно некоторые смешные моменты но я от этого фильма ожидала большего,"['посмотреть', 'фильм', 'симпатия', 'бен', 'аффлек', 'фильм', 'слабенький', 'некоторый', 'смешной', 'момент', 'фильм', 'ожидать', 'больший']",посмотреть фильм симпатия бен аффлек фильм слабенький некоторый смешной момент фильм ожидать больший,169,160,13
